"","main_id","proj_id","eligibility","eudract_id","nct_id","crossregistration_check","registry","trial_title","trial_name","lead_institution","lead_country","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","extraction_date_latest","publication_type","has_summary_results","summary_results_date","registration_date","start_date","completion_date","completion_year","primary_completion_date","primary_completion_year","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","recruitment_status","phase","enrollment","is_multicentric","is_multinational","main_sponsor","is_controlled","is_randomised","masking","intervention_type","center_size","single_sponsor","completion_date_type","registered_euctr","registered_ctgov","sponsor_type","phase_recoded","sample_size","time_to_registration","recruitment_status_recoded","is_rct"
"597","NCT03348410","668","Eligible",NA,"NCT03348410","Irrelevant intervention type","ctgov","Joint Coordination (GESAM) - Collaboration Project to Facilitate the Transition From Sick Leave to Employment",NA,"Uppsala University","Sweden","No",NA,NA,NA,NA,NA,2022-12-31,NA,"No",NA,2017-11-16,2017-11-14,2019-12-14,"2019","2019-11-14","2019",NA,NA,NA,NA,-2,758,728,NA,"Completed","Not Applicable",193,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Uppsala University","Actual","No","Yes","Only non-industry","Not given","100-500","Within 60 days after trial start","Completed","Yes"
"598","NCT03348371","669","Eligible",NA,"NCT03348371","Irrelevant intervention type","ctgov","The Effects of Orally Ethanol vs. Isoethanolaemic i.v. Infusion of Ethanol on Intestinal Permeability and Gut Hormones",NA,"University of Copenhagen","Denmark","Yes","10.1530/EC-19-0317",31518994,"https://ec.bioscientifica.com/view/journals/ec/8/10/EC-19-0317.xml?alreadyAuthRedirecting","2019-10-01","Systematic Google search",2023-01-25,"Journal publication","No",NA,2017-11-16,2016-08-01,2017-10-01,"2017","2017-10-01","2017",730,730,NA,NA,-472,-46,-46,684,"Completed","Not Applicable",12,"Yes",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","University of Copenhagen","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","Yes"
"599","NCT03344926","671","Eligible",NA,"NCT03344926","Irrelevant intervention type","ctgov","ACTsmart - Feasibility of Smart Phone Delivered ACT Treatment for Adults With Longstanding Pain",NA,"Karolinska Institutet","Sweden","Yes","10.1093/pm/pnaa360",33200214,"https://academic.oup.com/painmedicine/article/22/2/315/5983827","2021-02-23","Systematic Google search",2023-01-23,"Journal publication","No",NA,2017-11-14,2017-10-23,2019-12-23,"2019","2019-12-23","2019",428,428,NA,NA,-22,769,769,1197,"Completed","Not Applicable",34,"No",NA,"Industry or mixed","No","No","Open label","Not medicinal product","large","Karolinska Institutet","Actual","No","Yes","Industry or mixed","Not given","1-100","Within 60 days after trial start","Completed","No"
"600","NCT03344575","672","Eligible",NA,"NCT03344575","Irrelevant intervention type","ctgov","Randomised Controlled Trial of Peritoneal Bridging Versus Defect Closure in Laparoscopic Ventral Hernia Repair",NA,"Karolinska Institutet","Sweden","Yes","10.1002/bjs5.50305",32463163,"https://doi.org/10.1002/bjs5.50305","2020-05-28","Linked at the registration",2022-12-23,"Journal publication","No",NA,2017-11-12,2017-07-01,2019-12-31,"2019","2019-06-30","2019",149,333,NA,NA,-134,779,595,928,"Completed","Not Applicable",50,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Karolinska Institutet","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","Yes"
"601","NCT03339024","673","Eligible",NA,"NCT03339024","None found","ctgov","Long-term Effects of Intranasal Oxytocin in Alcohol Withdrawal and Dependence: Follow-up of a Randomized Controlled Trial",NA,"Norwegian University of Science and Technology","Norway","Yes","10.1093/alcalc/agaa133",33352584,"https://doi.org/10.1093/alcalc/agaa133","2021-08-30","Systematic Google search",2022-12-23,"Journal publication","No",NA,2017-11-07,2017-11-01,2019-03-31,"2019","2019-03-31","2019",883,883,NA,NA,-6,509,509,1392,"Completed","Phase 3",38,"No",NA,"Only non-industry","Yes","Yes","Masking","Medicinal product","large","Norwegian University of Science and Technology","Actual","No","Yes","Only non-industry","III","1-100","Within 60 days after trial start","Completed","Yes"
"602","NCT03339011","674","Eligible",NA,"NCT03339011","Irrelevant intervention type","ctgov","Effectiveness of Text Messages for Decreasing Inactive Behavior in Patients With Knee Osteoarthritis: a Pilot Randomised Controlled Study",NA,"Bispebjerg and Frederiksberg Hospital","Denmark","Yes","10.1186/s40814-019-0494-6",31516729,"https://doi.org/10.1186/s40814-019-0494-6","2019-09-07","Linked at the registration",2023-01-16,"Journal publication","No",NA,2017-11-07,2017-11-14,2018-07-29,"2018","2018-07-29","2018",405,405,NA,NA,7,264,264,669,"Completed","Not Applicable",38,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Bispebjerg and Frederiksberg Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"603","NCT01540838","675","Eligible",NA,"NCT01540838","None found","ctgov","Slow Initial β-lactam Infusion With High-dose Paracetamol to Improve the Outcomes of Childhood Bacterial Meningitis, Especially of Pneumococcal Meningitis, in Angola.",NA,"University of Helsinki","Finland","Yes","10.1093/cid/ciaa341",32246138,"https://doi.org/10.1093/cid/ciaa341","2021-05-18","Linked at the registration",2023-01-14,"Journal publication","Yes","2019-02-21",2012-02-23,2012-02-29,2017-02-28,"2017","2017-02-28","2017",1540,1540,723,723,6,1832,1832,3372,"Completed","Phase 4",375,"No",NA,"Only non-industry","Yes","Yes","Masking","Medicinal product","small","University of Helsinki","Actual","No","Yes","Only non-industry","IV","100-500","Prospective registration","Completed","Yes"
"604","NCT03337425","676","Eligible",NA,"NCT03337425","Irrelevant intervention type","ctgov","Psychoeducational Groups for Adults With Attention-Deficit Hyperactivity/Impulsivity Disorder (ADHD): a Randomized Waitlist-controlled Multicenter Pilot Trial",NA,"Norwegian University of Science and Technology","Norway","No",NA,NA,NA,NA,NA,2023-01-02,NA,"No",NA,2017-11-02,2017-11-15,2019-06-15,"2019","2019-06-15","2019",NA,NA,NA,NA,13,590,590,NA,"Completed","Not Applicable",46,"Yes",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Norwegian University of Science and Technology","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"605","NCT03336125","677","Eligible",NA,"NCT03336125","Irrelevant intervention type","ctgov","Key Nutrients and Mental Health",NA,"University of Bergen","Norway","Yes","10.3390/nu12113258",33114392,"doi.org/10.3390/nu12113258","2020-10-24","Systematic Google search",2023-01-20,"Journal publication","No",NA,2017-10-26,2017-11-17,2018-05-22,"2018","2018-05-22","2018",886,886,NA,NA,22,208,208,1094,"Completed","Not Applicable",86,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","University of Bergen","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"606","NCT03336047","678","Eligible",NA,"NCT03336047","Irrelevant intervention type","ctgov","The Effect of Personal Activity Intelligence Versus 10,000 Steps Daily on Cardiorespiratory Fitness in Overweight and Obese",NA,"Norwegian University of Science and Technology","Norway","No",NA,NA,NA,NA,NA,2023-01-08,NA,"No",NA,2017-11-01,2017-11-15,2018-02-15,"2018","2018-02-15","2018",NA,NA,NA,NA,14,106,106,NA,"Completed","Not Applicable",21,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Norwegian University of Science and Technology","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"607","NCT03334136","679","Eligible",NA,"NCT03334136","None found","ctgov","The Effect of Vitamin D Supplementation on Psoriasis Severity Measured by Psoriasis Area Severity Index (PASI) in Patients With Lower Range Serum 25-hydroxyvitamin D Levels",NA,"University Hospital of North Norway","Norway","No",NA,NA,NA,NA,NA,2023-01-05,NA,"No",NA,2017-10-05,2017-11-24,2019-05-13,"2019","2019-05-13","2019",NA,NA,NA,NA,50,585,585,NA,"Completed","Not Applicable",115,"No",NA,"Only non-industry","Yes","Yes","Masking","Medicinal product","small","University Hospital of North Norway","Actual","No","Yes","Only non-industry","Not given","100-500","Prospective registration","Completed","Yes"
"608","NCT03333850","680","Eligible",NA,"NCT03333850","Irrelevant intervention type","ctgov","Technology Assisted Physical Activity Among Hospitalised Patients With Respiratory Disease - a Controlled Cohort Study",NA,"Bispebjerg and Frederiksberg Hospital","Denmark","Yes","10.1016/j.ejim.2019.08.019",31494019,"https://doi.org/10.1016/j.ejim.2019.08.019","2019-09-04","Systematic Google search",2023-01-12,"Journal publication","No",NA,2017-10-30,2017-11-08,2018-06-30,"2018","2018-06-30","2018",431,431,NA,NA,9,243,243,674,"Completed","Not Applicable",96,"No",NA,"Only non-industry","Yes","No","Open label","Not medicinal product","large","Bispebjerg and Frederiksberg Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","No"
"609","NCT03333291","681","Eligible",NA,"NCT03333291","Irrelevant intervention type","ctgov","Characterisations of Microbial Community Composition and Kinetics Following Faecal Microbiota Transplantation in Patients WITH IRRITABLE BOWEL SYNDROME",NA,"Haukeland university hospital","Norway","Yes","10.1371/journal.pone.0194904",30427836,"https://doi.org/10.1371/journal.pone.0194904","2018-11-14","Linked at the registration",2023-01-01,"Journal publication","No",NA,2017-10-25,2016-10-01,2017-06-30,"2017","2017-06-15","2017",502,517,NA,NA,-389,-117,-132,385,"Completed","Not Applicable",14,"No",NA,"Only non-industry","No","No","Open label","Not medicinal product","large","Haukeland university hospital","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","No"
"610","NCT03333096","682","Eligible",NA,"NCT03333096","Irrelevant intervention type","ctgov","Assessing Neurovisual Function in Patients With Cognitive Impairment",NA,"Turku University Hospital","Finland","No",NA,NA,NA,NA,NA,2023-01-14,NA,"No",NA,2017-08-15,2017-12-01,2019-01-01,"2019","2019-01-01","2019",NA,NA,NA,NA,108,504,504,NA,"Unknown status","Not Applicable",60,"No",NA,"Industry or mixed","No","No","Open label","Not medicinal product","large","Turku University Hospital","Anticipated","No","Yes","Industry or mixed","Not given","1-100","Prospective registration","Unknown status","No"
"611","NCT03332381","683","Eligible",NA,"NCT03332381","Irrelevant intervention type","ctgov","A Randomized Controlled Trial Comparing the Attention Training Technique and Mindful Self-Compassion",NA,"Norwegian University of Science and Technology","Norway","Yes","10.3389/fpsyg.2018.00827",29887823,"https://doi.org/10.3389/fpsyg.2018.00827","2018-05-25","Systematic Google search",2023-01-03,"Journal publication","No",NA,2017-10-30,2015-05-01,2017-09-01,"2017","2017-05-01","2017",266,389,NA,NA,-913,-59,-182,207,"Completed","Not Applicable",81,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Norwegian University of Science and Technology","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","Yes"
"612","NCT03329651","684","Eligible",NA,"NCT03329651","None found","ctgov","The Interaction Between Metformin and Acute Exercise",NA,"Copenhagen University Hospital","Denmark","Yes","10.1007/s00125-020-05282-6",32979074,"https://doi.org/10.1007/s00125-020-05282-6","2020-09-26","Systematic Google search",2022-12-29,"Journal publication","No",NA,2017-10-30,2017-11-10,2018-10-01,"2018","2018-07-01","2018",726,818,NA,NA,11,336,244,1062,"Completed","Not Applicable",34,"No",NA,"Only non-industry","Yes","Yes","Masking","Medicinal product","large","Copenhagen University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"613","NCT03329456","685","Eligible",NA,"NCT03329456","None found","ctgov","Minimum Effective Volume (MEV95%) of Ropivacaine 7.5 mg/ml to Block the Posterior and Lateral Cords of the Infraclavicular Brachial Plexus",NA,"University Hospital of North Norway","Norway","Yes","10.1111/aas.13277",30338518,"https://doi.org/10.1111/aas.13277","2018-10-18","Linked at the registration",2023-01-22,"Journal publication","No",NA,2017-10-30,2017-10-30,2018-04-01,"2018","2018-04-01","2018",200,200,NA,NA,0,153,153,353,"Completed","Phase 4",23,"No",NA,"Only non-industry","No","No","Open label","Medicinal product","small","University Hospital of North Norway","Actual","No","Yes","Only non-industry","IV","1-100","Within 60 days after trial start","Completed","No"
"614","NCT03327688","686","Eligible",NA,"NCT03327688","Irrelevant intervention type","ctgov","Point-of-care Ultrasound in Finland",NA,"Kuopio University Hospital","Finland","Yes","10.1186/s13089-021-00204-y",33527170,"doi.org/10.1186/s13089-021-00204-y","2021-02-02","Systematic Google search",2023-01-23,"Journal publication","No",NA,2017-10-23,2017-10-20,2019-12-31,"2019","2019-12-31","2019",399,399,NA,NA,-3,799,799,1198,"Completed","Not Applicable",220,"Yes",NA,"Only non-industry","Yes","No","Open label","Not medicinal product","small","Kuopio University Hospital","Actual","No","Yes","Only non-industry","Not given","100-500","Within 60 days after trial start","Completed","No"
"615","NCT03327168","687","Eligible",NA,"NCT03327168","None found","ctgov","Adenosine and A2a Receptors in Human Brown Adipose Tissue (AdenoBAT)",NA,"Turku University Hospital","Finland","Yes","10.1007/s00259-018-4120-2",30105585,"https://doi.org/10.1007%2Fs00259-018-4120-2","2018-08-13","Systematic Google search",2023-01-08,"Journal publication","No",NA,2017-09-28,2015-11-01,2016-06-30,"2016","2016-06-30","2016",774,774,NA,NA,-697,-455,-455,319,"Completed","Not Applicable",11,"Yes",NA,"Only non-industry","Yes","No","Open label","Medicinal product","large","Turku University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","No"
"616","NCT03326284","688","Eligible",NA,"NCT03326284","Irrelevant intervention type","ctgov","Optimizing Per Meal Protein Intake During Weight Loss",NA,"Aarhus University","Denmark","No",NA,NA,NA,NA,NA,2023-01-10,NA,"No",NA,2017-05-08,2017-08-01,2018-02-01,"2018","2018-02-01","2018",NA,NA,NA,NA,85,269,269,NA,"Completed","Not Applicable",40,"No",NA,"Industry or mixed","Yes","Yes","Masking","Not medicinal product","large","Aarhus University","Actual","No","Yes","Industry or mixed","Not given","1-100","Prospective registration","Completed","Yes"
"617","NCT03324347","689","Eligible",NA,"NCT03324347","Irrelevant intervention type","ctgov","Dog-Assisted Therapy in Dental Care Settings",NA,"UiT The Arctic University of Norway","Norway","Yes","10.1002/cre2.679",36259429,"https://doi.org/10.1002/cre2.679","2022-10-19","Systematic Google search",2022-12-18,"Journal publication","No",NA,2017-10-11,2017-10-31,2019-06-05,"2019","2019-06-05","2019",1232,1232,NA,NA,20,602,602,1834,"Completed","Not Applicable",16,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","small","UiT The Arctic University of Norway","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"618","NCT03322839","690","Eligible",NA,"NCT03322839","Irrelevant intervention type","ctgov","Implementing the Swedish Guideline for the Prevention of Common Mental Disorders at the Workplace in Schools: Study Protocol of a Cluster Randomized Controlled Trial Using Multifaceted Implementation Strategies",NA,"Karolinska Institutet","Sweden","Yes","10.1186/s13012-022-01196-6",35279176,"https://implementationscience.biomedcentral.com/articles/10.1186/s13012-022-01196-6","2022-03-12","Systematic Google search",2023-02-12,"Journal publication","No",NA,2017-09-19,2017-09-12,2019-12-31,"2019","2019-10-30","2019",802,864,NA,NA,-7,833,771,1635,"Completed","Not Applicable",732,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Karolinska Institutet","Actual","No","Yes","Only non-industry","Not given",">500","Within 60 days after trial start","Completed","Yes"
"619","NCT03321877","691","Eligible",NA,"NCT03321877","None found","ctgov","Down-titration of Steroids in Patients With Difficult Asthma With no Bronchial Hyperreactivity: Severe Asthma or Simply Over-treatment?",NA,"Bispebjerg and Frederiksberg Hospital","Denmark","No",NA,NA,NA,NA,NA,2023-01-10,NA,"No",NA,2017-10-23,2016-10-01,2017-05-31,"2017","2017-05-31","2017",NA,NA,NA,NA,-387,-145,-145,NA,"Completed","Not Applicable",9,"No",NA,"Only non-industry","No","No","Open label","Medicinal product","large","Bispebjerg and Frederiksberg Hospital","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","No"
"620","NCT03320525","692","Eligible",NA,"NCT03320525","Irrelevant intervention type","ctgov","A Single Center, Open-Label, Phase 1 Study to Evaluate the Pharmacokinetic Profile of T-ChOS™ in Subjects With Advanced Solid Tumors (CHITIN)",NA,"Herlev and Gentofte Hospital","Denmark","No",NA,NA,NA,NA,NA,2023-01-03,NA,"No",NA,2017-10-14,2017-11-29,2018-09-25,"2018","2018-09-25","2018",NA,NA,NA,NA,46,346,346,NA,"Terminated","Phase 1",11,"No",NA,"Only non-industry","No","No","Open label","Not medicinal product","large","Herlev and Gentofte Hospital","Actual","No","Yes","Only non-industry","I","1-100","Prospective registration","Terminated","No"
"621","NCT03319550","693","Eligible",NA,"NCT03319550","Irrelevant intervention type","ctgov","Whey vs Casein to Combat Post-inflammatory Protein and Muscle Waste - Combining Endotoxemia, Immobilisation and Fasting in Healthy Young Males in a New Model of Acute Febrile Disease",NA,"Aarhus University","Denmark","Yes","10.1093/jn/nxab010",33693737,"https://doi.org/10.1093/jn/nxab010","2021-06-01","Linked at the registration",2022-11-27,"Journal publication","No",NA,2017-10-13,2017-12-07,2018-09-19,"2018","2018-09-19","2018",986,986,NA,NA,55,341,341,1327,"Completed","Not Applicable",10,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Aarhus University","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"622","NCT03317808","694","Eligible",NA,"NCT03317808","Irrelevant intervention type","ctgov","Heavy Slow Resistance Exercise for Subacromial Pain Syndrome",NA,"Oslo University Hospital","Norway","Yes","10.21203/rs.2.20336/v1",NA,"https://doi.org/10.21203/rs.2.20336/v1","2020-01-09","Systematic Google search",2023-01-13,"Preprint","No",NA,2017-10-15,2017-10-16,2018-12-13,"2018","2018-12-13","2018",392,392,NA,NA,1,424,424,816,"Completed","Not Applicable",22,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Oslo University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"623","NCT03317652","695","Eligible",NA,"NCT03317652","None found","ctgov","Effect of Sodium Nitroprusside on Cerebral Blood Flow",NA,"Copenhagen University Hospital","Denmark","Yes","10.1113/JP275887",29917239,"https://physoc-onlinelibrary-wiley-com.mime.uit.no/doi/10.1113/JP275887","2018-07-04","Other",2023-01-19,"Journal publication","No",NA,2017-10-03,2017-11-03,2017-12-04,"2017","2017-12-04","2017",212,212,NA,NA,31,62,62,274,"Completed","Not Applicable",20,"No",NA,"Only non-industry","No","No","Open label","Medicinal product","large","Copenhagen University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","No"
"624","NCT03316846","696","Eligible",NA,"NCT03316846","Irrelevant intervention type","ctgov","Tailored Internet-delivered Cognitive Behavioral Therapy for Patients With Chronic Pain and Comorbid Psychiatric Distress",NA,"Uppsala University","Sweden","No",NA,NA,NA,NA,NA,2023-02-12,NA,"No",NA,2017-09-01,2016-09-13,2018-12-31,"2018","2017-05-31","2017",NA,NA,NA,NA,-353,486,-93,NA,"Completed","Not Applicable",187,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Uppsala University","Actual","No","Yes","Only non-industry","Not given","100-500",">60 days after trial start","Completed","Yes"
"625","NCT03316690","697","Eligible",NA,"NCT03316690","None found","ctgov","The Interaction Between Metformin and Physical Training",NA,"Copenhagen University Hospital","Denmark","Yes","10.1007/s00125-020-05282-6",32979074,"https://doi.org/10.1007/s00125-020-05282-6","2020-09-26","Linked at the registration",2023-01-01,"Journal publication","No",NA,2017-10-03,2017-10-20,2018-10-01,"2018","2018-10-01","2018",726,726,NA,NA,17,363,363,1089,"Completed","Not Applicable",34,"No",NA,"Only non-industry","Yes","Yes","Masking","Medicinal product","large","Copenhagen University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"626","NCT03313726","699","Eligible","2017-002345-29","NCT03313726","Identified in publication","ctgov","The Effect of Androgen Deprivation Therapy on Prostate Specific Membrane Antigen (PSMA) in Prostate Cancer",NA,"Turku University Hospital","Finland","Yes","10.1007/s00259-019-04635-7",31879814,"https://doi.org/10.1007/s00259-019-04635-7","2019-12-26","Linked at the registration",2023-01-03,"Journal publication","No",NA,2017-10-09,2017-09-20,2018-09-30,"2018","2018-09-30","2018",452,452,NA,NA,-19,356,356,808,"Unknown status","Not Applicable",30,"No",NA,"Only non-industry","Yes","No","Masking","Medicinal product","large","Turku University Hospital","Anticipated","Yes","Yes","Only non-industry","Not given","1-100","Within 60 days after trial start","Unknown status","No"
"627","NCT03313232","700","Eligible",NA,"NCT03313232","Irrelevant intervention type","ctgov","Low Dose Exposure to Oxidized R-limonene - A Double Blinded Vehicle Controlled Repeated Open Application Test (ROAT) Study",NA,"Herlev and Gentofte Hospital","Denmark","Yes","10.1111/cod.13168",30378136,"https://doi-org.ezproxy.its.uu.se/10.1111/cod.13168","2018-12-12","Systematic Google search",2023-01-03,"Journal publication","No",NA,2017-10-03,2017-10-10,2018-04-09,"2018","2018-04-09","2018",247,247,NA,NA,7,188,188,435,"Completed","Not Applicable",48,"Yes",NA,"Only non-industry","Yes","No","Masking","Not medicinal product","large","Herlev and Gentofte Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","No"
"628","NCT03311568","701","Eligible",NA,"NCT03311568","Irrelevant intervention type","ctgov","Microcirculatory Alterations in Critical Disease. New Ultrasound Technology for Assessment of Small-vessel Circulation Pathophysiology",NA,"St. Olav’s University Hospital","Norway","No",NA,NA,NA,NA,NA,2023-01-02,NA,"No",NA,2017-10-11,2017-10-31,2019-11-01,"2019","2019-11-01","2019",NA,NA,NA,NA,20,751,751,NA,"Terminated","Not Applicable",30,"No",NA,"Only non-industry","No","No","Open label","Not medicinal product","small","St. Olav’s University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Terminated","No"
"629","NCT03311438","702","Eligible",NA,"NCT03311438","Irrelevant intervention type","ctgov","Evaluation of an Oral Health Intervention Program for Children With Congenital Heart Defects",NA,"University of Bergen","Norway","Yes","10.1186/s12903-018-0495-5",29566698,"https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-018-0495-5","2018-03-23","Linked at the registration",2023-01-05,"Journal publication","No",NA,2017-09-20,2009-09-01,2016-12-16,"2016","2016-10-03","2016",462,536,NA,NA,-2941,-278,-352,184,"Completed","Not Applicable",75,"Yes",NA,"Only non-industry","No","No","Open label","Not medicinal product","large","University of Bergen","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","No"
"630","NCT03309995","703","Eligible",NA,"NCT03309995","Irrelevant intervention type","ctgov","The Effect of Zinc Acetate Lozenges on the Rate of Recovery From the Common Cold: a Randomized Trial",NA,"University of Helsinki","Finland","Yes","10.1136/bmjopen-2019-031662",31980506,"https://doi.org/10.1136/bmjopen-2019-031662","2020-01-23","Linked at the registration",2023-01-10,"Journal publication","No",NA,2017-10-10,2017-12-01,2018-09-24,"2018","2018-04-24","2018",486,639,NA,NA,52,349,196,835,"Completed","Not Applicable",87,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","small","University of Helsinki","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"631","NCT03309917","704","Eligible",NA,"NCT03309917","Irrelevant intervention type","ctgov","The Effect of Blood Pressure on Cerebral Blood Flow During Propofol Anesthesia",NA,"Copenhagen University Hospital","Denmark","Yes","10.1097/EJA.0000000000001189",32175988,"https://pubmed.ncbi.nlm.nih.gov/32175988/","2020-06-01","Linked at the registration",2023-01-05,"Journal publication","No",NA,2017-10-09,2017-12-27,2018-04-19,"2018","2018-04-19","2018",774,774,NA,NA,79,192,192,966,"Completed","Not Applicable",30,"No",NA,"Only non-industry","No","No","Open label","Not medicinal product","large","Copenhagen University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","No"
"632","NCT03309904","705","Eligible",NA,"NCT03309904","Irrelevant intervention type","ctgov","Sport Without Injury ProgrammE Floorball",NA,"Linkoeping University","Sweden","Yes","10.1136/bjsports-2019-101295",31992545,"https://doi.org/10.1136/bjsports-2019-101295","2020-01-28","Linked at the registration",2023-01-22,"Journal publication","No",NA,2017-10-10,2017-09-15,2018-05-31,"2018","2018-04-15","2018",607,653,NA,NA,-25,233,187,840,"Completed","Not Applicable",910,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Linkoeping University","Actual","No","Yes","Only non-industry","Not given",">500","Within 60 days after trial start","Completed","Yes"
"633","NCT03309215","706","Eligible",NA,"NCT03309215","Irrelevant intervention type","ctgov","Evaluation of the Clinical Implication of Short Repeated Nickel Exposures",NA,"Herlev and Gentofte Hospital","Denmark","Yes","10.1111/bjd.16935",29959775,"doi.org/10.1111/bjd.16935","2018-09-30","Systematic Google search",2023-01-23,"Journal publication","No",NA,2017-10-04,2017-09-16,2017-12-10,"2017","2017-12-10","2017",294,294,NA,NA,-18,67,67,361,"Completed","Not Applicable",30,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Herlev and Gentofte Hospital","Actual","No","Yes","Only non-industry","Not given","1-100","Within 60 days after trial start","Completed","Yes"
"634","NCT03305367","708","Eligible",NA,"NCT03305367","Irrelevant intervention type","ctgov","Dose-response Effect of Pine Nut Oil as a Dual FFA1 and FFA4 Agonist on Glucose Tolerance, Incretins, Appetite and Tolerability in Healthy Humans.",NA,"Odense University Hospital","Denmark","Yes","10.1016/j.clnu.2020.09.043",33059911,"doi.org/10.1016/j.clnu.2020.09.043","2020-10-02","Linked at the registration",2023-01-19,"Journal publication","No",NA,2017-10-04,2017-02-06,2017-08-23,"2017","2017-08-23","2017",1136,1136,NA,NA,-240,-42,-42,1094,"Completed","Not Applicable",10,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Odense University Hospital","Actual","No","Yes","Only non-industry","Not given","1-100",">60 days after trial start","Completed","Yes"
"635","NCT03304353","709","Eligible",NA,"NCT03304353","Irrelevant intervention type","ctgov","The Efficacy of a Self-managed Resistance Training Protocol Versus a Predetermined Resistance Training Protocol in Reducing Pain in Individuals With Plantar Fasciopathy During a 12-week Intervention: a Randomised Controlled Superiority Trial",NA,"Aalborg University","Denmark","Yes","10.1016/j.jphys.2019.05.011",31204294,"https://doi.org/10.1016/j.jphys.2019.05.011","2019-06-13","Linked at the registration",2023-01-30,"Journal publication","No",NA,2017-10-04,2017-10-12,2018-05-17,"2018","2018-05-17","2018",392,392,NA,NA,8,225,225,617,"Completed","Not Applicable",70,"No",NA,"Only non-industry","Yes","Yes","Masking","Not medicinal product","large","Aalborg University","Actual","No","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"636","NCT03304158","710","Eligible",NA,"NCT03304158","Irrelevant intervention type","ctgov","Community Based Intervention for Management of Diabetes in Nepal (COBIN-D): A Cluster Randomised Controlled Trial",NA,"Aarhus University","Denmark","Yes","10.1001/jamanetworkopen.2020.35799",33523189,"https://doi.org/10.1001/jamanetworkopen.2020.35799","2021-02-01","Linked at the registration",2023-01-21,"Journal publication","No",NA,2017-10-03,2017-06-01,2019-01-31,"2019","2018-09-30","2018",732,855,NA,NA,-124,485,362,1217,"Completed","Not Applicable",224,"No",NA,"Only non-industry","Yes","Yes","Open label","Not medicinal product","large","Aarhus University","Actual","No","Yes","Only non-industry","Not given","100-500",">60 days after trial start","Completed","Yes"
